iso3,region,country,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021
AND,,Andorra,,,,,,,,,,,0.818,0.825,0.832,0.841,0.833,0.833,0.848,0.847,0.85,0.848,0.848,0.849,0.869,0.864,0.871,0.867,0.871,0.868,0.872,0.873,0.848,0.858
ATG,LAC,Antigua and Barbuda,,,,,,,,,,,,,,,,,,0.802,0.801,0.795,0.79,0.783,0.787,0.787,0.789,0.791,0.794,0.795,0.798,0.8,0.788,0.788
BTN,SA,Bhutan,,,,,,,,,,,,,,,,,,,,,0.581,0.591,0.598,0.606,0.617,0.627,0.638,0.647,0.658,0.671,0.668,0.666
COM,SSA,Comoros,,,,,,,,,,,0.464,0.47,0.474,0.479,0.482,0.488,0.494,0.5,0.507,0.513,0.52,0.527,0.533,0.539,0.54,0.544,0.548,0.553,0.557,0.56,0.562,0.558
CPV,SSA,Cabo Verde,,,,,,,,,,,0.569,0.576,0.587,0.593,0.597,0.606,0.62,0.629,0.635,0.639,0.644,0.653,0.656,0.666,0.667,0.663,0.67,0.675,0.673,0.676,0.662,0.662
DJI,AS,Djibouti,,,,,,0.351,0.35,0.353,0.355,0.36,0.361,0.371,0.378,0.388,0.396,0.405,0.416,0.426,0.434,0.445,0.458,0.47,0.478,0.483,0.488,0.493,0.496,0.499,0.506,0.512,0.51,0.509
DMA,LAC,Dominica,,,,,,,,,,,0.695,0.694,0.695,0.695,0.7,0.701,0.708,0.707,0.717,0.713,0.711,0.702,0.706,0.699,0.705,0.7,0.709,0.692,0.726,0.729,0.722,0.72
ERI,SSA,Eritrea,,,,,,,,,,,,,0.426,0.437,0.445,0.449,0.453,0.457,0.448,0.457,0.463,0.481,0.486,0.483,0.502,0.483,0.488,0.484,0.493,0.495,0.494,0.492
FSM,EAP,Micronesia (Federated States of),,,,,,,,,,,0.572,0.581,0.582,0.594,0.597,0.604,0.61,0.614,0.618,0.62,0.625,0.628,0.628,0.626,0.625,0.626,0.629,0.632,0.633,0.633,0.629,0.628
GNQ,SSA,Equatorial Guinea,,,,,,,,,,,0.512,0.522,0.534,0.537,0.545,0.556,0.569,0.578,0.582,0.586,0.579,0.585,0.592,0.594,0.598,0.603,0.603,0.601,0.601,0.605,0.599,0.596
