iso3,region,country,mys_1990,mys_1991,mys_1992,mys_1993,mys_1994,mys_1995,mys_1996,mys_1997,mys_1998,mys_1999,mys_2000,mys_2001,mys_2002,mys_2003,mys_2004,mys_2005,mys_2006,mys_2007,mys_2008,mys_2009,mys_2010,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021
AND,,Andorra,,,,,,,,,,,9.806363724,9.891956443,9.978296239,10.06538963,10.70065022,10.08963966,10.41322041,10.4421978,10.47117519,10.50015259,10.52912998,10.55810738,10.58708477,10.61606216,10.64503956,10.57328033,10.55609989,10.55577309,10.5554463,10.55511952,10.55511952,10.55511952
ATG,LAC,Antigua and Barbuda,,,,,,,,,,,7.026353,8.911,8.962747824,9.014495648,9.066243472,9.117991296,9.169739121,9.221486945,9.273234769,9.324982593,9.2361755,8.99,9.03495,9.08012475,9.125525374,9.171153001,9.217008766,9.263093809,9.293740746,9.293740746,9.293740746,9.293740746
BTN,SA,Bhutan,,,,,,,,,,,,,,,,,,,,,2.306014,2.261766999,2.217519999,2.585663986,2.953807974,3.321951962,3.690095949,4.058239937,4.580629311,5.170262283,5.170262283,5.170262283
COM,SSA,Comoros,,,,,,,,,,,2.762227737,2.762227737,2.789850015,2.817748515,2.845926,3.06537925,3.2848325,3.50428575,3.723739,3.94319225,4.1626455,4.38209875,4.601552,4.661372176,4.721970014,4.783355624,4.845539248,4.908531258,4.993590129,5.078649,5.078649,5.078649
CPV,SSA,Cabo Verde,,,,,,,,,,,3.504169,3.66619611,3.828223219,3.990250329,4.152277438,4.314304548,4.476331657,4.638358767,4.800385876,4.962412986,5.124440095,5.286467205,5.448494314,5.610521424,5.772548533,5.858970165,5.973347954,6.076351994,6.181132228,6.287719287,6.287719287,6.287719287
DJI,AS,Djibouti,,,,,,2.824621,2.824621,2.9264589,3.0282968,3.1301347,3.2319726,3.3338105,3.4356484,3.5374863,3.6393242,3.7411621,3.843,3.875428571,3.907857143,3.940285714,3.972714286,4.005142857,4.037571429,4.045678571,4.053785714,4.061892857,4.07,4.07,4.0,4.1,4.1,4.1
DMA,LAC,Dominica,,,,,,,,,,,7.775336266,7.750249863,7.78232741,7.789318555,7.796309699,7.803300844,7.810291988,7.817283133,7.824274277,7.831265422,7.838256566,7.845247711,7.852238855,7.893659876,7.935080896,7.976501917,8.017922938,8.059343959,8.100764979,8.142186,8.142186,8.142186
ERI,SSA,Eritrea,,,,,,,,,,,,,3.147506,3.3265146,3.5055232,3.6845318,3.8635404,4.042549,4.2215576,4.28812536,4.35469312,4.42126088,4.48782864,4.5543964,4.62096416,4.68753192,4.75409968,4.82066744,4.8872352,4.8872352,4.8872352,4.8872352
FSM,EAP,Micronesia (Federated States of),,,,,,,,,,,4.839572193,5.075428493,5.311284794,5.547141094,5.782997395,6.018853695,6.254709996,6.490566296,6.726422597,6.962278898,7.198135198,7.27011655,7.342817716,7.416245893,7.490408352,7.565312435,7.64096556,7.717375215,7.717375215,7.804956,7.804956,7.804956
GNQ,SSA,Equatorial Guinea,,,,,,,,,,,5.364,5.364,5.375647996,5.387295992,5.398943988,5.410591984,5.42223998,5.433887976,5.445535972,5.457183968,5.468831964,5.48047996,5.492152765,5.503850431,5.515573013,5.527320562,5.539093132,5.550890776,5.550890776,5.910863,5.910863,5.910863
GRD,LAC,Grenada,,,,,,,,,,,,,7.445400273,7.552225239,7.659050204,7.76587517,7.872700136,7.979525102,8.086350068,8.193175034,8.3,8.375,8.45,8.525,8.6,8.675659824,8.675659824,8.675659824,8.8,9.032104,9.032104,9.032104
KIR,EAP,Kiribati,,,,,,,,,,,6.807679113,6.908141952,7.01008735,7.113537184,7.218513657,7.325039297,7.433136966,7.541234635,7.649332304,7.757429974,7.865527643,7.865527643,7.865527643,7.865527643,7.865527643,7.865527643,7.865527643,7.865527643,7.865527643,7.984461822,7.984461822,7.984461822
